,evaluation record
0,-4920.705857310346
1,-5286.118753891333
2,-4642.161566267351
3,-4757.269076947452
4,-5236.933969893034
5,-3631.214607878034
6,-3600.7790416908297
7,-4602.414987591049
8,-4439.583764409703
9,-3291.6590043817437
10,-2566.870309305214
11,-4355.986902934586
12,-3211.8638947286804
13,-3806.6681433682315
14,-2675.7482327008743
15,-3590.297138242981
16,-4029.983027335677
17,-3718.4986691455147
18,-3455.4815890931823
19,-3314.8393418321066
20,-3959.056662108292
21,-4587.888671944952
22,-4306.123808799641
23,-3545.734761213998
24,-4026.02582837321
25,-4615.192044267032
26,-4160.722634157373
27,-4752.596564830279
28,-4438.35846265231
29,-3614.5665413524366
30,-4013.7046963706152
31,-3291.2410219473845
32,-4061.2530193471757
33,-3507.1217633306114
34,-4585.266293943225
35,-3271.3353158670443
36,-3227.5425278315774
37,-3409.7252508031206
38,-2710.5551245182714
39,-3906.349402345797
40,-4327.570885156712
41,-3677.582239376489
42,-3666.1754277700084
43,-4092.150633400008
44,-3567.6344334346927
45,-4115.084871299568
46,-4742.984765941061
47,-3990.748751402842
48,-3812.5607887726896
49,-3648.528018294334
50,-4159.889977053745
51,-4397.832498968033
52,-3040.8403021195636
53,-3947.912735439984
54,-5062.7005395309125
55,-2789.84729178266
56,-3635.2186476709635
57,-3893.574575569586
58,-2890.5081662549123
59,-3363.3553494976536
60,-3932.8667458133423
61,-3933.1443961605896
62,-2409.7244291383154
63,-3039.1332889965224
64,-3488.748883070938
65,-3754.0036711215753
66,-3981.80609901512
67,-3207.349561845688
68,-2661.057262935367
69,-3302.865449613746
70,-4133.922006220286
71,-3951.1341523195542
72,-3378.60308451107
73,-2759.6268741243684
74,-2794.2376952763198
75,-3024.6235823454517
76,-3803.0187951642715
77,-4025.5519881276355
78,-2761.340002685692
79,-3240.0390323966712
80,-2502.378287993335
81,-3356.849270014821
82,-2949.159241759909
83,-2376.102025237883
84,-2906.7652401698906
85,-2420.588666671351
86,-3339.7192559627774
87,-4325.466623856087
88,-3434.036925413429
89,-3604.7712079439234
90,-3233.76692451279
91,-3243.365499872333
92,-3367.1375849740202
93,-2916.6184746237595
94,-2686.20868903741
95,-2817.7073154984373
96,-2663.919992548212
97,-3078.4110081146096
98,-3268.3164378002703
99,-3508.930555234475
100,-3816.306124713477
101,-2877.7742777221274
102,-4100.556206379433
103,-3665.722112410981
104,-2954.2030451452715
105,-3144.2959041776303
106,-3394.730004584325
107,-3758.5778131060006
108,-2355.4291498003545
109,-3306.776404147765
110,-3589.466386166531
111,-2554.371563503929
112,-2924.997625148725
113,-2556.143852224465
114,-2981.4610336319183
115,-2486.197083162365
116,-2474.1502306422512
117,-3071.7220749960006
118,-4038.4114914658458
119,-2587.015034588626
120,-2512.6250589054257
121,-3051.7863566012657
122,-3629.4266826842127
123,-2581.1438844401664
124,-3338.7561394421346
125,-2773.6936978387193
126,-3544.3032085114946
127,-2532.119673628756
128,-3163.3697011200875
129,-3254.9409635149455
130,-3175.83437849024
131,-2991.04102327721
132,-3031.9714018543345
133,-3123.6222018453964
134,-3357.9256912759147
135,-2600.5777789936737
136,-2986.9303200268473
137,-3428.1727445563724
138,-3043.3342835383187
139,-2674.912431781564
140,-2651.6231018084195
141,-2712.661826387362
142,-3804.760841297664
143,-2310.928754170453
144,-2569.3953964308166
145,-3260.66295760353
146,-2685.7004489744254
147,-2840.672237833449
148,-3042.2435513697046
149,-2957.4662793402995
150,-3106.3899110881093
151,-3356.0827682743266
152,-2554.910067083373
153,-4502.127691568594
154,-3536.1373110597206
155,-3247.166556538603
156,-2953.7729340169867
157,-2553.9904090604964
158,-3039.717953987039
159,-2853.864418443583
160,-3456.935429185166
161,-3047.2137330276637
162,-2989.8415830118806
163,-3514.809377970818
164,-3543.6139605491953
165,-2763.87650964162
166,-3054.668235618103
167,-4004.26656405626
168,-2359.2547490834363
