,evaluation record
0,-3290.642933830591
1,-2174.4785029065497
2,-2540.282575879933
3,-1441.2504939696646
4,-2783.1128432830697
5,-1160.5058340775938
6,-2116.3564097517324
7,-333.9874531807506
8,-429.3237812694538
9,-884.9594950606762
10,-415.3477040885013
11,-303.1706390244205
12,-224.93797801460485
13,-216.35067649729945
14,-233.73087530036074
15,-159.91088074917715
16,-52.51076665294972
17,-288.1212805527096
18,-153.3893045022621
19,-92.60977314734409
20,-106.44612206154592
21,-111.55021486688509
22,-112.52130419623728
23,-89.93017284432217
24,-141.48127014056072
25,-77.25044685349732
26,-76.23572984710893
27,-98.09958662280143
28,-36.97878865344938
29,-85.30887634315928
30,-80.75919851440486
31,-109.32617453773457
32,-52.714649754185736
33,-106.86188814977811
34,-61.86028681087683
35,-79.32731047501575
36,-105.15921438571696
37,-104.1982954702148
38,-80.85136570939552
39,-86.5962551162391
40,-50.439752249466714
41,-55.68562274377678
42,-79.09028415226611
43,-104.59261853607528
44,-28.228683516229747
45,-67.44754130577861
46,-77.7452341604337
47,-58.07648525922857
48,-34.03667077146619
49,-39.554132210907845
50,-40.422922418183084
51,-64.84885149787345
52,-69.75803358153618
53,-74.49018842209946
54,-104.4020284827104
55,-46.06338083328938
56,-110.6210952472291
57,-34.88325238621191
58,-80.65151297713199
59,-75.19771112083349
60,-85.46920177947895
61,-27.45981605242893
62,-72.80104532371872
63,-53.37975714454961
64,-46.19177277799444
65,-111.7437265215778
66,-76.74462695599539
67,-88.58488835681239
68,-49.569492343027406
69,-74.49515357113692
70,-62.150846421428746
71,-61.904907622760845
72,-77.2279054231757
73,-55.37576488210459
74,-42.6997952177175
75,-15.533830864227811
76,-119.69979066076017
77,-45.76707855503636
78,-81.83951932007426
79,-94.71448284611614
80,-74.0133173432747
81,-50.22418580244391
82,-120.62967233741648
83,-88.60561436274863
84,-85.54241356094072
85,-40.82545029883616
86,-36.54052197825644
87,-89.23273062662416
88,-49.42648824971616
89,-74.2332977712024
90,-28.607741557728676
91,-65.49154387884117
92,-34.95383178552071
93,-57.585580977014104
94,-79.04952649933766
95,-91.23127975282453
96,-44.04062141269309
97,-89.25095230284363
98,-79.75396891507641
99,-129.31338646097996
100,-108.22170052969854
101,-68.67321740311276
102,-96.48099092422781
103,-104.3642791833769
104,-76.4474697204961
105,-42.47799394563318
106,-63.762234451409235
107,-43.57241056564996
108,-41.983405844440725
109,-45.55802837913478
110,-29.337789003297498
111,-27.488890666336445
112,-63.39506317417344
113,-71.91082251190434
114,-53.39031404123548
115,-95.95201471938434
116,-46.27325792431978
117,-50.513223625269795
118,-51.970847638427266
119,-83.97575515034058
120,-82.14455140031068
121,-45.38645651758004
122,-103.69577760060247
123,-46.18166651695569
124,-33.25050620279118
125,-81.19560080651944
126,-45.72610652071619
127,-44.149207611371175
128,-84.05564658953072
129,-67.33435835836696
130,-34.33885284951425
