,evaluation record
0,-1050.4794357852768
1,-718.3378986929883
2,-618.2576751443588
3,-832.6596192362377
4,-657.5303624433083
5,-733.9468347817111
6,-551.0455246253636
7,-783.153743563203
8,-355.52453712786723
9,-478.87407189106347
10,-310.7769283044591
11,-580.663176777097
12,-358.5193083977276
13,-273.5749672609049
14,-410.7597104768334
15,-274.45671070745925
16,-440.68568477671835
17,-368.75734615615585
18,-208.4906442038873
19,-297.43691271306494
20,-351.3857110445096
21,-266.11211903717856
22,-386.37112796844116
23,-212.11242894650078
24,-374.27615777664545
25,-305.373014568075
26,-390.31062411030956
27,-361.6303562825553
28,-220.60910429391356
29,-163.03690518484004
30,-248.27545397090282
31,-302.06491251390804
32,-295.59526884788073
33,-272.06214323283626
34,-222.6708054628425
35,-208.2592390888025
36,-276.8704592717936
37,-354.7493475268953
38,-176.0613919251326
39,-329.7977458883416
40,-181.7585709653732
41,-294.09932043882594
42,-234.40669371220358
43,-249.74893464674233
44,-277.5312071111539
45,-276.14146906977453
46,-341.88344825541964
47,-224.308749797738
48,-290.0633895205672
49,-242.31965512847606
50,-323.7756336850477
51,-164.43099299026775
52,-298.86431663902437
53,-318.66562059415884
54,-213.99534269035163
55,-257.6098033458671
56,-207.61955521083522
57,-278.7148520381706
58,-170.07611829484932
59,-171.90692849406412
60,-253.8674704435115
61,-188.94646908685732
62,-222.09584520357762
63,-153.02870161744508
64,-232.22904035367426
65,-227.67954211777575
66,-183.2660463064045
67,-221.66159968530323
68,-270.587707559449
69,-301.5364788227751
70,-223.46425664399757
71,-257.0424297178261
72,-377.9338939001428
73,-204.1099270861208
74,-195.6960989506232
75,-142.78763457840503
76,-156.6970672474138
77,-185.03423108930883
78,-161.63474698638422
79,-222.2590635316955
80,-233.51983451569183
81,-107.5137671044912
82,-213.18852864294817
83,-190.88672981635702
84,-165.78170101366442
85,-178.01920445872238
86,-167.7048110946096
87,-259.1227194042324
88,-197.1937238859047
89,-152.11930734353007
90,-184.30408620719163
91,-168.5579805676388
92,-256.1585078832978
93,-141.3797216447717
94,-247.4052465808089
95,-283.58690909520277
96,-212.30118838001218
97,-219.88128648533078
98,-158.42339809363747
99,-199.56344525215695
100,-161.16929159371801
101,-236.61647189821176
102,-183.67335163909482
103,-237.05696484865143
104,-155.2520855324239
105,-164.8451665863814
106,-133.62817700318843
107,-156.11389258684696
108,-186.79445272295268
109,-141.90352678578395
110,-146.81308515856452
111,-153.96247999136227
112,-228.36091091813418
113,-143.14268637804113
114,-193.0177952992724
115,-201.4858672718077
116,-127.62847333094533
117,-156.45084082400302
118,-172.76405554026692
119,-229.76136271676532
120,-160.64174821617829
121,-235.37641685573445
122,-241.07684879111613
123,-218.01945754387484
124,-156.98138543366508
125,-170.7187902744231
126,-138.04596152613874
127,-150.86408587151897
128,-186.7459287061346
129,-136.31364167400045
130,-189.76897193958735
131,-244.10325581777252
132,-199.76682431843253
133,-107.75381833569897
134,-162.67341630546252
135,-202.95903336923269
136,-229.68242136421944
137,-197.91885013639774
138,-122.3795733245298
139,-184.68371064631097
140,-240.19949790971737
141,-207.8086622520013
142,-165.70966604314435
143,-124.63314222747299
144,-157.6103251640083
