,evaluation record
0,-5139.334832212099
1,-5258.489081707723
2,-4301.056836937916
3,-6021.8501835251145
4,-4910.87035131833
5,-4855.389386067871
6,-5785.506940620452
7,-6505.807011116626
8,-5821.021971457077
9,-6119.942457010127
10,-5560.87769367096
11,-5002.3141467428995
12,-5815.407274815921
13,-4631.46324165063
14,-5489.658216863754
15,-6710.875298086731
16,-7528.009252057915
17,-5762.19512942896
18,-5113.243870973623
19,-6362.106696311659
20,-6746.531291104848
21,-8299.89691528949
22,-7392.464022934795
23,-6218.4447080708205
24,-7349.164972241454
25,-5846.158222171988
26,-6057.646009871323
27,-4781.142184313786
28,-5533.082203483967
29,-6552.661284963521
30,-5693.493032762222
31,-5340.678660619518
32,-5172.116417069462
33,-5822.222183619123
34,-6746.6962844931795
35,-5979.052366720125
36,-5301.337924581388
37,-6916.08657092514
38,-4478.639856147727
39,-5223.2864935919
40,-6936.955891758128
41,-3488.0648519826414
42,-4696.440994666755
43,-5520.086457853855
44,-5256.595062688699
45,-5783.202964334734
46,-5473.3137957520885
47,-6826.1444340989765
48,-7371.826391783348
49,-5243.957578389425
50,-5364.745102048692
51,-5154.757583456846
52,-4447.844187134361
53,-6304.198857082805
54,-5921.144195375512
55,-6633.188043019462
56,-4620.851411166518
57,-5257.979770963918
58,-4479.605459278866
59,-5333.766583009904
60,-5756.203308393763
61,-6121.815964722932
62,-5230.264299759867
63,-6044.20782440496
64,-5312.424266458596
65,-4679.324259497291
66,-6334.57805163329
67,-6567.248095982953
68,-7486.618477266357
69,-3424.5721399132367
70,-4033.1761962187497
71,-6861.981172818433
72,-4975.391369226132
73,-4542.002774977497
74,-4768.928409697087
75,-3727.1287180424674
76,-7062.572674922709
77,-4103.435107056607
78,-4974.1267865344325
79,-3819.18862602351
80,-4635.959313245778
81,-5393.393159437317
82,-4320.014373295007
83,-5849.963167744083
84,-7458.184931990868
85,-5249.951086608175
86,-7452.205256009669
87,-4590.182071647043
88,-5390.005558518391
89,-4513.0700601181725
90,-3843.4254413796066
91,-4170.669259921769
92,-4543.4446058425765
93,-6917.570290579533
94,-5013.165770911519
95,-12286.631935361895
96,-4802.7868700860345
97,-6892.934508343731
98,-4622.082955793653
99,-6504.027558129101
100,-6584.9977145047405
101,-6006.318708534805
102,-4910.748782372556
103,-3493.2420387225015
104,-6057.591559535069
105,-4589.009230526635
106,-5566.097152109081
107,-4903.847820546711
108,-5298.493359319711
109,-3799.8336158434963
110,-4251.844362816921
111,-6956.816147807181
112,-3105.8573894250703
113,-7300.936944221559
114,-6398.80684899021
115,-4400.752439930752
116,-7958.949266870387
117,-4479.3678636521345
118,-5259.740854199679
119,-5094.721574540538
120,-5186.356435442401
121,-6571.707460079817
122,-4299.934807692878
123,-4072.1401031653977
124,-4064.5879541201925
125,-2943.8428712358973
126,-4768.826061984964
127,-5062.190556533766
128,-6194.060928480461
129,-4618.903389953604
130,-3199.176330742205
131,-4084.0948087595825
132,-4834.971989667751
133,-6028.466840169167
134,-4254.678011590623
135,-5274.146147389463
136,-9716.622987798964
137,-9535.465114947816
138,-4751.717424562527
139,-5469.0509857057095
140,-8878.736534393165
141,-5126.935827754436
142,-4040.7574687526235
143,-4062.321761488113
144,-3192.5263601715023
145,-3693.3830435606897
146,-3975.9810521280733
147,-4325.596043001565
148,-6190.153404675982
149,-4182.216533466478
150,-6380.555641767473
151,-4487.626630197776
152,-4794.5168565828535
153,-4747.434555451023
154,-3735.880586918901
155,-5833.853706752168
156,-4682.2585692947405
157,-5604.811803778073
158,-4710.0346629101205
159,-4539.601425146847
160,-6266.643459196113
161,-4552.936097493273
162,-6413.478470037358
163,-4174.70292880133
164,-4697.88526475277
165,-3331.17942962986
166,-4466.685226612566
167,-8375.24746526256
168,-4793.055725258329
169,-6930.942447206214
170,-4269.426379414226
171,-3885.3113280470193
172,-5939.666128551796
173,-6540.929241632173
174,-5307.291343859168
175,-4248.546813280207
176,-6952.4532937042
177,-3531.2787704361153
178,-6929.778906989961
179,-4757.477490034571
180,-5338.050885155522
181,-3384.831669858143
182,-6701.832232917694
183,-3518.2732927346733
