,evaluation record
0,-2537.1215414400103
1,-3168.6410501739047
2,-3000.31565210509
3,-3220.880296235073
4,-2864.7486889479583
5,-2502.7870478738264
6,-3494.0931776994585
7,-2936.72610096555
8,-3147.2950595981765
9,-3154.108356151403
10,-3018.847478446986
11,-2567.0038020160473
12,-3064.227078080941
13,-2945.4038717161166
14,-3013.2569419995903
15,-3046.692900173082
16,-2978.022657573387
17,-2923.930508308886
18,-2774.915853907441
19,-2862.523939342332
20,-3417.5458638040413
21,-2814.620523410293
22,-2776.8438264629676
23,-2897.398735480483
24,-3133.6366760190685
25,-2779.2829203938
26,-1949.8903178482597
27,-3023.8100358342704
28,-2678.3248953901025
29,-2743.525432696568
30,-2733.381962459484
31,-2637.8790764128294
32,-3119.9936617082385
33,-2422.113474510622
34,-2534.5692734588424
35,-3293.9906698503223
36,-2814.606406346698
37,-2920.4853642596318
38,-3321.451501973674
39,-2844.739654668385
40,-3097.8527672831738
41,-2713.1963566651493
42,-2778.2408329364284
43,-2983.24548101798
44,-2475.4546411878787
45,-2685.4640430426575
46,-2922.2952416522435
47,-2047.1477155969396
48,-2343.795188936831
49,-2025.8248650728513
50,-2806.666096596544
51,-2295.9235858712113
52,-2772.1840497626704
53,-2871.8732886542316
54,-2712.1922587342196
55,-2830.2018621041093
56,-2543.859834252244
57,-4394.869894551889
58,-3037.8111091512487
59,-2004.846034670737
60,-2849.1545330077824
61,-2769.0451673398625
62,-2328.213240986531
63,-2737.071399634327
64,-3100.552586860024
65,-2929.071443868093
66,-2835.703071939877
67,-2423.483451919473
68,-2378.6833657859893
69,-2729.9744414295624
70,-2312.1778325934665
71,-2921.7963750676904
72,-2427.37731580478
73,-3069.1869182072783
74,-2529.2708238895316
75,-2943.72377543515
76,-3070.094834254592
77,-2707.2679754988467
78,-2485.400640978048
79,-2696.4919708634384
80,-2231.1987427590407
81,-1916.5379163512061
82,-2933.029942970096
83,-2961.958889848666
84,-2619.0968708264395
85,-2815.024042387657
86,-2344.4669905045716
87,-2612.4020398876696
88,-3322.4139667881773
89,-2466.6415023602317
90,-2788.12917302249
91,-3481.119625051819
92,-1547.0668602474236
93,-2929.1954577070287
94,-2388.1257216902454
95,-2172.286209200414
96,-2775.5857838300235
97,-3267.3129505976904
98,-2239.2198901017578
99,-2654.5470402978863
100,-2320.521753272554
101,-2857.8736049123054
102,-2734.550693581666
103,-2784.8194062999614
104,-2598.869175260462
105,-2874.2778924356535
106,-3111.3686493512664
107,-2804.7620039041008
108,-2510.303971270346
109,-2434.2538772198827
110,-2870.235691782968
111,-2680.8714738313715
112,-2633.8092102581495
113,-2234.7565884424516
114,-2315.156235286854
115,-2008.6782401416215
116,-2804.733893393759
117,-2031.1742266469203
118,-2730.9805543062853
119,-2116.4231299662883
120,-2321.785485977228
121,-2183.101867574167
122,-2108.8749895208152
123,-2893.0829640208926
124,-3993.130516001071
125,-2449.7101949417006
126,-2386.411344767572
127,-2626.1231005178183
128,-3023.9502302914593
129,-2477.5455058978955
130,-2464.658566439231
131,-2635.852173067471
132,-2830.9969730583416
133,-2386.190303368166
134,-2731.927014563555
135,-2841.7831511422355
136,-2981.666940874699
137,-2547.7813949333645
138,-2786.871449976559
139,-2997.7154484885627
140,-2136.466660434817
141,-2582.7916024084866
142,-2315.8372121617085
143,-2682.519997847078
144,-2296.105460098927
145,-1677.2829480359753
146,-1895.1714511950966
147,-1683.9894187125562
148,-3448.5665411074915
149,-2164.5151243202963
150,-2126.9010398539626
151,-2154.286599249643
152,-2389.7253285990073
153,-2366.312319854434
154,-2213.2773515246677
155,-2503.0624731625885
156,-2188.2948120125234
157,-2649.238013183111
158,-2225.203706825517
159,-2326.6972899098723
160,-2837.654786505776
161,-2392.9059941928776
162,-2586.6709368895363
163,-2588.9071235509314
164,-2201.316716657236
165,-2232.932925190574
166,-3039.081203388871
167,-2464.0596093257686
168,-2660.8530603827176
169,-1973.811286028524
170,-1891.1409444845021
171,-2345.8377189809007
172,-3742.2259170400043
173,-3118.022493344936
174,-2202.516034065779
175,-2579.7323360576543
176,-2282.790986056891
177,-2290.7299724091545
178,-2920.929623147598
179,-1881.4846668925868
180,-2101.686393274882
181,-2861.395462006641
182,-2249.985439670679
183,-2621.3921162319543
184,-2503.297508814994
185,-2176.996666101601
186,-1965.3391420682756
187,-3166.6036633858257
188,-2717.876921640375
189,-2482.7186180144295
190,-2740.1753018995737
191,-2563.359006059567
192,-2357.9458473177942
193,-2934.848018595641
194,-2156.119881472339
195,-1580.9358315260442
196,-2185.958114543798
197,-2312.972205692556
198,-2201.0331307773845
199,-3027.360566120806
200,-2190.501365300824
201,-2124.2466040799804
202,-2876.408553820053
203,-2495.7801683444527
204,-2012.5323004131462
205,-2345.580340183405
206,-2598.666251381202
207,-2794.6002648485123
208,-2292.1016604422084
209,-2758.2666801119994
210,-2657.011325392981
211,-2504.916568836535
212,-3141.610840967043
213,-2596.4776853240596
214,-3186.1513676964228
215,-2164.4095068868805
216,-2205.4075269792306
217,-3035.521537018443
218,-2217.3418656961717
219,-2703.793742819946
220,-2434.0825062305653
221,-2727.2724023870883
222,-2506.1647561796804
223,-2298.708961713707
224,-2576.895459563911
225,-2404.5614879203163
226,-3277.1300885091973
227,-2220.1868500308133
228,-2715.7578335885178
229,-2019.9989413720734
230,-2361.12247940555
231,-2448.7561194722643
232,-2133.7909659433435
233,-2161.3100773069878
234,-2811.863552023049
235,-2902.4438846560975
236,-2682.1721767678605
237,-2274.831407699325
238,-3198.6624520541804
239,-2743.7410181566215
240,-2133.4014075670602
241,-2212.2480206964847
242,-2548.6494443323036
243,-1819.5845396391621
244,-2897.937463565469
245,-2349.6593303976615
246,-2552.393175465219
247,-2044.3164806741677
248,-2665.1411130229094
249,-2755.8424102007853
250,-2263.74289103178
251,-2337.8095975418673
252,-2315.3088921954486
253,-2270.488258003818
254,-2643.710083071709
255,-2711.952415419249
256,-2914.262681437121
257,-2207.9946034875834
258,-2557.406783763731
259,-2526.6410045855523
260,-2792.1688102491357
261,-2388.5495242981033
262,-2624.3951273755292
263,-2605.1188000114403
264,-2820.6096298051343
265,-2339.473675351764
266,-2893.733725132253
267,-2767.7062143880958
268,-2653.9097742431773
269,-2527.953898794953
270,-2433.7772134453576
271,-3076.1997064953753
272,-2412.342409638368
273,-3245.495453168983
274,-3026.8616290181158
275,-2341.1837646293625
276,-2278.098474807159
277,-2634.3086644548016
278,-2689.1164379984825
279,-2037.989172109472
280,-2309.8889134717406
281,-2223.840202039133
282,-2181.609339207966
283,-2966.849199148148
284,-2866.493978300808
285,-1772.800649099787
286,-2484.843664705262
287,-2546.2744670087154
288,-2543.032785175383
289,-2462.470125959246
290,-2677.1083076021514
291,-2228.3930570338835
292,-1806.0209771312263
293,-2579.5341808423295
294,-2299.039222078041
295,-3031.073369110514
296,-3176.2420910192886
297,-2565.6532729521355
298,-2178.1005403966155
299,-2596.5710722810104
300,-2765.2978898719407
301,-2681.0719379598677
302,-2138.283449779175
303,-2266.803435974662
304,-2456.2299314449133
305,-2529.787403969117
306,-1962.2022314340395
307,-1760.6931857196575
308,-1771.804248540775
309,-2011.1057702282144
310,-2699.8631817242026
311,-2325.66391185488
312,-2914.5159090620714
313,-3004.0934814527686
314,-2050.078969754477
315,-2364.2314530432773
316,-3400.783265005741
317,-2303.181151151577
318,-2997.3866115309133
319,-1989.1501608940741
320,-2624.7928260009057
321,-2767.451589070564
322,-3103.8859750616066
323,-2402.206465436813
324,-2896.3432213654364
325,-2283.564824160114
326,-2352.963120211942
327,-2692.4548849361654
328,-3216.964071983959
329,-2015.885570489074
330,-2980.179736546594
331,-2166.514719547013
