,evaluation record
0,-34598.212766872915
1,-17867.72625370516
2,-40665.51056249363
3,-35954.43359684587
4,-53832.336143599874
5,-44377.16579250683
6,-24235.470118220455
7,-15953.506208229555
8,-17216.546239114847
9,-4667.018932753926
10,-7945.4479078972645
11,-13631.470515897105
12,-15510.277014897576
13,-5700.566220005312
14,-7674.845354298451
15,-6161.6173951448545
16,-2313.478305930015
17,-4752.489298043202
18,-2352.307846765188
19,-3588.2459686731945
20,-1566.7483220018555
21,-2230.4208751805513
22,-1813.5740043943958
23,-2025.588581060816
24,-1126.8438735770017
25,-1427.2920032899945
26,-1268.7262087001961
27,-914.4557228537718
28,-1940.3103187546715
29,-1113.011817752876
30,-350.4988276208067
31,-805.9491885008433
32,-898.6716136798035
33,-386.66752230727076
34,-541.478752072068
35,-356.05102625276726
36,-413.01499853502423
37,-311.83752782762707
38,-159.8715830459217
39,-621.0359082754263
40,-307.6140926374671
41,-285.3447566119905
42,-226.13682542016002
43,-386.92871136315074
44,-673.117999595473
45,-500.23261406441037
46,-603.6554739808984
47,-325.7319226731186
48,-266.8677970645843
49,-195.07170693424618
50,-406.5159302580435
51,-349.2936891220456
52,-214.3590477068384
53,-293.92287146686624
54,-350.44103862378137
55,-217.22602409910334
56,-250.59406606946877
57,-223.73826060677308
58,-173.82568172993572
59,-427.33331947086936
60,-253.28447783284795
61,-158.17078602367343
62,-271.2425522955998
63,-207.1053368845552
64,-617.3142484708277
65,-151.2651798255396
66,-429.3402369703849
67,-76.0308869137099
68,-314.55044327978834
69,-308.83791235489485
70,-306.5386944180786
71,-190.30507454123634
72,-230.5245618057446
73,-117.50323606120664
74,-321.50394007240305
75,-153.52359438955014
76,-496.1957708000339
77,-268.6203717252076
78,-92.87262110880908
79,-449.6570856424257
80,-224.01054664120156
81,-140.9125436645803
82,-185.4021559727339
83,-231.7089089629783
84,-176.96415445792948
85,-230.67567471860784
86,-537.3409397439046
87,-802.720687707947
88,-365.59985009082
89,-326.4698535566123
90,-482.3806387279528
91,-155.43738003452472
92,-429.4553319257945
93,-206.87221339673548
94,-277.70105053910066
95,-232.83645484545596
96,-331.85400185112985
97,-226.4248378202044
98,-481.1178010456834
99,-213.82386847013234
100,-422.07299943937477
101,-182.04513448104464
102,-122.42726767099866
103,-308.1644057409136
104,-148.47168888283184
105,-697.6762627698166
106,-97.23941385366976
107,-259.86884395936545
