,evaluation record
0,-1890.8889611164248
1,-3084.9091099531547
2,-2329.769296838231
3,-1187.0449354985142
4,-1758.0017822658092
5,-1641.8235394330093
6,-1301.5943861572446
7,-1642.2257553662091
8,-1503.8125506060258
9,-1598.3066663994796
10,-1365.3507948586741
11,-1254.4457994173831
12,-1169.671457255615
13,-976.429865673615
14,-1570.1133410419652
15,-1000.6052403120742
16,-986.5115478631416
17,-1826.9080324868444
18,-846.2393283652892
19,-1367.0474537354094
20,-1520.8751540850062
21,-1001.315801176465
22,-1291.5708323032788
23,-1188.5985986144135
24,-982.8835374479717
25,-1316.983094609667
26,-793.7878798942478
27,-929.7220926965603
28,-832.3024465801692
29,-1054.572357800629
30,-784.8116604927795
31,-656.8232996115681
32,-731.7177627278952
33,-1021.2728809828483
34,-798.6764506749049
35,-1082.280277182009
36,-552.5070824048049
37,-1183.698220306617
38,-706.2647704111563
39,-972.8916249263913
40,-738.2808884911196
41,-799.8929460376636
42,-778.4225519741195
43,-1629.370921090883
44,-1251.1224745620052
45,-1035.6536387106487
46,-589.7161626643764
47,-1589.28082252114
48,-555.9277804964253
49,-687.3174674061847
50,-718.8160079803489
51,-595.5491883928015
52,-491.83421851471434
53,-569.7036301653729
54,-953.5415347928498
55,-1111.029056408682
56,-574.6232835150896
57,-699.4561264506087
58,-786.5953366773136
59,-595.4139884781308
60,-1050.2557295954998
61,-975.458829112269
62,-747.0398157674096
63,-1655.9069185536553
64,-898.5468260506549
65,-592.1518622600921
66,-588.094005345116
67,-491.1929026607643
68,-780.1891683207718
69,-469.16742793617146
70,-477.9713658813101
71,-519.2115846011794
72,-887.0978394967284
73,-693.507467899835
74,-667.0734423988683
75,-1030.4129319622207
76,-687.2636108818591
77,-472.81249286737534
78,-745.0199164069309
79,-938.1446707186652
80,-622.9579176776851
81,-671.1310130705411
82,-525.7543747496812
83,-781.3769898571618
84,-610.1330295153185
85,-597.1867941702673
86,-479.9990910125528
