,reward
0,-11010.682449399432
1,-8365.257711794851
2,-5082.748417127004
3,-6533.1836984479005
4,-7058.920734561837
5,-6048.20991956233
6,-6820.34332686666
7,-7316.070346958494
8,-7390.331934582458
9,-6752.164107824817
10,-8568.409779216614
11,-7466.781423444874
12,-6184.359774463323
13,-7827.412366990143
14,-6638.388970472469
15,-8480.30932737427
16,-8117.056149623756
17,-10533.772812148409
18,-10818.570563601159
19,-10773.86716203986
20,-8928.474392649467
21,-7996.875648964543
22,-7156.7195685616025
23,-6724.4249715062215
24,-6620.270480026734
25,-7478.266592862873
26,-6115.968526154819
27,-7802.32057991863
28,-11521.244812437619
29,-7312.139487248328
30,-10936.450883783817
31,-8888.587922089338
32,-7410.08736824294
33,-6130.431083422087
34,-6996.826396767343
35,-6815.545462006648
36,-7755.671190118935
37,-6873.174512237607
38,-4873.614003378279
39,-8875.888467276647
40,-6980.430232930707
41,-7162.3129832523
42,-8636.018531220172
43,-8223.745922808523
44,-7650.459359700059
45,-10847.223196859957
46,-8710.548055113793
47,-8565.672608626617
48,-7516.404729341851
49,-6197.056430521604
50,-7249.722130163884
51,-7531.579373700173
52,-5513.758313503211
53,-6985.122000619869
54,-7194.269582135054
55,-7036.236268644289
56,-4825.751541679919
57,-6182.796519305131
58,-9614.069741016596
59,-6538.734069437661
60,-8353.261957366367
61,-5344.687773355612
62,-7278.083421249877
63,-9594.5621853697
64,-5888.402287641712
65,-6050.847200840874
66,-6130.650594941495
67,-6740.616366610232
68,-5911.987787782421
69,-5603.150044654749
70,-6712.971154252931
71,-9066.454505603386
72,-7849.160219406324
73,-6334.603598031477
74,-6769.741544621695
75,-7704.04101313314
76,-5048.932508615365
77,-6715.589341731006
78,-5586.456007855061
79,-6051.643302399048
80,-6190.803972302432
81,-7238.630422209865
82,-4917.663121768486
83,-5106.227477414535
84,-6425.145301173552
85,-6562.266282298424
86,-5331.977985428726
87,-5298.948640020201
88,-6794.459468449254
89,-6749.712310310833
90,-5444.357577844533
91,-6707.332903501373
92,-5352.344843235604
93,-6249.237429592826
94,-4869.548575022102
95,-5286.623870253538
96,-5242.409112741698
97,-5998.181720074098
98,-7362.443180626928
99,-6721.039574747928
100,-5634.723155876984
101,-7286.1313913033755
102,-6071.080384049147
103,-7451.1502372246605
104,-6578.026973076609
105,-8840.901284519028
106,-5499.994644401145
107,-5744.484591478422
108,-8437.324158559613
109,-7159.887918495059
110,-9162.479813244749
111,-8393.841120922192
112,-5684.677891448071
113,-7981.111091399364
114,-8708.95316622354
115,-6675.019556217466
116,-6940.483755672773
117,-7036.364496773876
118,-7740.154526445367
119,-7424.529206729368
120,-7257.907184565005
121,-6170.083346221775
122,-7132.461901107684
123,-6739.057037415431
124,-7305.845515634604
125,-8171.094832791488
126,-6264.026629762088
127,-7528.12505000208
128,-6416.873280747327
129,-7414.442115269325
130,-7083.943908625268
131,-6621.548328657686
132,-8309.594683668163
133,-7043.389207516229
134,-7317.149713007901
135,-7747.4163632187565
136,-9936.29768105213
137,-7576.449681047568
138,-4942.981836889002
139,-6070.713458172406
140,-6821.001031709224
141,-6415.196417383493
142,-5095.050134011253
143,-4873.921515245852
144,-6704.709685886959
145,-7891.720438252497
146,-5153.812659216272
147,-7796.547323791197
148,-7015.167996924516
149,-4906.059295669598
150,-5940.326070965151
151,-5190.291560761783
152,-5588.409860323387
153,-5329.6360835461965
154,-6049.296054568045
155,-5445.445466740535
156,-6561.045976056439
157,-5773.571454863957
158,-5722.736249060437
159,-5299.2113324278935
160,-5371.789024427904
