,evaluation record
0,-16690.79201780428
1,-21281.42554408412
2,-13134.141351199503
3,-8520.22853834496
4,-17428.281471172177
5,-11466.836697573695
6,-16247.011460690026
7,-13670.832967546485
8,-9602.736676670967
9,-9933.685524129121
10,-8823.50417141984
11,-6947.384233597951
12,-6501.349857169706
13,-4570.657537230988
14,-7358.990542186893
15,-5741.48094481642
16,-5079.948682848657
17,-2864.2352252222695
18,-3699.546424405931
19,-7548.41220743648
20,-4431.945406768185
21,-6449.403647102513
22,-6262.012112606612
23,-6604.16879443447
24,-2249.850199220975
25,-3887.4061800806016
26,-3011.4443300338266
27,-6029.232582261881
28,-5109.088980665512
29,-4474.437802019312
30,-3918.7752814932264
31,-3862.775679770228
32,-4278.221898456666
33,-3098.1701806177025
34,-2852.637686511254
35,-1524.342504575109
36,-2602.3250933508502
37,-3086.093987668955
38,-3634.9016070245366
39,-1073.3895931337067
40,-4165.779425169841
41,-4457.8227729792525
42,-3026.3294490249605
43,-3631.779966410839
44,-2316.712486077719
45,-2265.633374993557
46,-3519.291515881871
47,-1772.0703004477239
48,-3227.8567201209166
49,-2379.0474543992973
50,-2696.046180980438
51,-1965.7765783278908
52,-2298.7415235791364
53,-2838.1922148541653
54,-2893.8231199741554
55,-2160.5121495492936
56,-3244.1332472341514
57,-2215.6986578873716
58,-4005.628325155272
59,-3654.6033507346615
60,-2985.889514407483
61,-3103.923415509825
62,-1700.321000487299
63,-2493.769622857913
64,-1093.8058954191754
65,-2314.440581690807
66,-3144.9076316962833
67,-1861.3110916886162
68,-2274.869270454534
69,-2077.0066086069487
70,-1853.8112358652872
71,-1750.9060525658558
72,-1950.6168517999185
73,-1444.2718617516011
74,-1971.9061330537768
75,-1115.4811896784754
76,-3304.531521519339
77,-1880.4103537324693
78,-2600.952804842987
79,-1538.609576251847
80,-2547.375182192765
81,-2135.1018010209505
82,-3426.6069808769676
83,-1184.1406535739682
84,-2169.6900316860983
85,-1354.8093338020687
86,-2539.7639771340237
87,-1359.4509608603205
88,-1205.3391562569248
89,-2098.7705141509346
90,-1162.4251651261054
91,-2401.202171269237
92,-3979.6396569337926
93,-2427.8070184221006
94,-1504.3673261887363
95,-1906.5536664555484
96,-1698.7644532644106
97,-2204.4074547559285
98,-1969.2606402367546
99,-2688.880912554649
100,-1441.6096216632968
101,-2129.5296848423127
102,-2032.6654857384
103,-690.5324014997568
104,-2415.9291519178355
105,-1565.0519823072827
106,-1581.116379843543
107,-870.1029635106923
108,-2055.467972928933
109,-1180.0263156149745
110,-2928.225310964561
111,-1933.9272919737405
112,-2283.104318934853
113,-2252.0069505496076
114,-2397.7641947823677
115,-2921.7771873402166
116,-2359.9528058637934
117,-2393.2193725299644
118,-2679.7943846608664
119,-2531.252091042464
120,-1665.118786958129
121,-1548.740106445103
122,-1968.0820661462876
123,-1163.4270999237056
124,-1724.264775936471
125,-1902.8459530752398
126,-1375.354211878217
127,-2771.3277113928384
128,-2096.423273891304
129,-2120.650732831455
130,-1254.3324453543967
131,-1724.7010425934907
132,-2321.829848653987
133,-1508.8862808514123
134,-1838.8658829748435
135,-1496.665626532844
136,-1519.7171182390728
137,-991.3513813090149
138,-2372.1286993522813
139,-1909.5556921474135
140,-1615.8326443731246
141,-1426.7395070381326
142,-2331.586262489301
143,-2272.907057015949
144,-1050.772931717894
145,-2078.440854595681
146,-1026.1606139342061
147,-1199.344841373201
148,-2111.244737280442
149,-1420.9303176711355
150,-1838.7162612419872
151,-1930.3630763912045
152,-2065.038052437197
153,-1053.06771055631
154,-1612.5562499136943
155,-2087.0385606443147
156,-1610.3145144290147
157,-2023.1099473193342
158,-2657.5602912124173
159,-2796.7889452914296
160,-2491.9915718305674
161,-1606.5195649953487
162,-1219.8732853904023
163,-2033.0067861472055
164,-1250.7436967321794
165,-1943.6980995829842
166,-2649.862137613631
167,-2153.6579469921217
168,-2517.386722964408
169,-1524.5424159099675
170,-2080.2665369504048
171,-2238.7595817819306
172,-1656.1769943436677
173,-1886.7340584757187
174,-1751.2860612836523
175,-1287.1490887169668
176,-1713.2228437680972
177,-1683.6940435588706
178,-1114.6856865788668
179,-1789.0374625063678
180,-2246.0000585818984
181,-1776.2092304246883
182,-2071.213242928652
183,-2340.5832632564493
184,-1291.6402734658475
185,-2088.1494438109444
186,-2306.3960418431657
187,-1894.9610004694694
188,-2194.982294250549
189,-1139.328987066651
190,-1992.6030131461364
191,-1470.087889191992
192,-613.7606045484905
193,-1555.494681325954
194,-994.6724967025693
195,-1933.2659111474225
196,-1705.044375324317
197,-1656.3284066834206
198,-2054.617891488963
199,-1262.5136988798247
200,-1057.3622087551853
201,-1605.8677103939374
202,-1197.1507655148844
203,-1190.2359592864316
204,-1720.2913228617974
205,-1562.705473836918
206,-986.8005575792153
207,-1457.1246230650504
208,-1501.2475637601456
209,-1592.9192864357692
210,-1697.4105177408558
211,-844.5473606005899
212,-1619.405050526967
213,-1395.5914064412266
214,-1000.7425066965619
215,-2219.2762951272693
216,-1455.790895619755
217,-1696.0830253762617
218,-2213.6311920803228
219,-2436.3166718544276
220,-1598.5839877293045
