,reward
0,-23760.63962946136
1,-99115.19135157588
2,-33322.33929857037
3,-24316.161560882334
4,-26028.086162998316
5,-14964.190816847426
6,-16259.916336565218
7,-16130.08779126919
8,-13174.220719540406
9,-10568.421521005535
10,-10314.20825237378
11,-10350.036486557898
12,-10633.165812094465
13,-8446.922881086826
14,-8568.224677932221
15,-8552.573220103297
16,-9401.815383706677
17,-9921.378462756125
18,-9346.052678878106
19,-10878.170139505319
20,-8760.7130838032
21,-8688.702205364765
22,-8691.328803755998
23,-9967.506755023825
24,-9344.943108331561
25,-8550.327526993862
26,-9273.231064886475
27,-8176.416150920815
28,-8802.56579402072
29,-10329.670669034751
30,-8648.897907773018
31,-9721.643782173709
32,-6435.779063171319
33,-6360.3324855771425
34,-6816.099262790178
35,-6830.810377472101
36,-6951.018098513267
37,-6809.789957010368
38,-7841.996078698045
39,-10810.909351363456
40,-8250.334579930462
41,-8700.329360563468
42,-8223.607739761726
43,-6527.439762836713
44,-8034.659207344753
45,-6861.573740716886
46,-8226.320191559089
47,-7275.331581004924
48,-7027.579954738098
49,-8130.642704846427
50,-6824.8336280655785
51,-7661.785278347393
52,-6780.831534848147
53,-6811.000225190849
54,-6780.004673791897
55,-8005.6530021886165
56,-7168.050236260129
57,-7172.604903695622
58,-10544.4394024561
59,-9144.648700480504
60,-8893.204814044127
61,-7530.527472940147
62,-8139.548088615329
63,-8208.581868152341
64,-6909.108867837659
65,-8237.338826281888
66,-6599.945726292201
67,-7447.370895433149
68,-6237.210286340435
69,-6575.365045969626
70,-7567.853556009197
71,-7512.898364226268
72,-7824.954117790031
73,-8314.085311626213
74,-7399.901466914494
75,-7201.1747954530165
76,-7131.85471318422
77,-8044.866556234508
78,-6750.234125492157
79,-8652.610396674016
80,-7273.842463516087
81,-6584.884615447763
82,-6923.451946262614
83,-6232.653275754366
84,-6024.978561703453
85,-7209.485094937935
86,-7665.784428687017
87,-6626.170999890313
88,-7435.666473668681
89,-8383.722409444263
90,-7085.595220181533
91,-6706.8061967764015
92,-7317.785827359524
93,-6061.4217954427495
94,-6847.331174567704
95,-6231.55024531023
96,-6633.120020856046
97,-6001.974274262465
98,-6351.421083069241
99,-6343.849275322341
100,-6422.069324169374
101,-8465.649066499469
102,-8793.792268913598
103,-9195.625752344211
104,-8156.276355400527
105,-7713.941953787406
106,-6729.105885909398
107,-5783.325862270431
108,-6374.2865534813245
109,-7007.42077327153
110,-7469.050794081894
111,-8440.33570255663
112,-7832.673940063867
113,-8805.516888859362
114,-7737.488517911074
115,-6927.286370088109
116,-6369.57147642522
117,-6483.949644412268
118,-6546.701762266458
119,-6876.707326987944
120,-7271.614395544853
121,-6888.310725864018
122,-6242.811010193969
123,-6661.348208505591
124,-7253.679932783646
125,-6819.737445155931
126,-7643.847458467098
127,-7402.077116726717
128,-6699.268721683601
129,-7233.8427525791985
130,-7396.73960079076
131,-6565.1077501738355
132,-7304.4812510488355
133,-6604.068626060972
134,-7483.571484594888
135,-9188.13921001033
136,-7091.460786616684
137,-8074.899827687225
138,-10214.304841352841
139,-9553.545237677787
140,-8907.316250094289
141,-8551.622108124464
142,-5989.002253784529
143,-7136.656324737115
144,-9247.633422055882
145,-12603.77561678604
146,-6913.11839887241
147,-7275.237275677977
148,-10113.864431364536
149,-13743.398182711382
150,-7137.696959147775
151,-11947.429074452793
152,-11453.777330881123
153,-6131.098292408649
154,-7679.333038721957
155,-5974.027541957599
156,-5609.3585585729015
157,-8716.156312748213
158,-9470.062689630417
159,-8195.40832888459
160,-12694.412721781911
161,-9329.129442360741
162,-8643.279136478694
163,-15715.438862790272
164,-18334.116672852586
165,-15017.293990976843
166,-9553.347377119033
167,-8515.821655338477
168,-8786.219570636293
169,-5603.550811017092
170,-5777.886421693481
171,-6273.409993937898
172,-6643.352102387981
173,-6194.563234001121
174,-6347.2955357369665
175,-6511.429614385839
176,-6208.863131293465
177,-6311.978006780992
178,-5840.22088828955
179,-6143.836769273971
180,-5953.947209907593
181,-6023.516556192541
182,-6452.530826708483
183,-5565.768556296561
184,-6440.895741372412
185,-6639.039820125664
186,-6271.19220599468
187,-6110.370875309191
188,-7068.0558379442045
189,-6218.646187321881
190,-6408.403558015052
191,-8304.315646552377
192,-7169.240878863379
193,-7411.877249000176
194,-5691.925196087972
195,-6625.912951362247
196,-6829.982915883057
197,-6035.9038645399405
198,-5817.590627797222
199,-6778.547040930761
200,-6176.223929447195
201,-5990.426718027355
202,-5754.4290332342935
203,-6274.870013802782
204,-5925.054976880782
205,-6347.4660464957615
206,-6136.546839961238
